school_name,finalgrades,total_students,latitude,longitude,NTA
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,9 to 12,2760,40.773629,-73.985273,Lincoln Square
The Urban Assembly School for Emergency Management,9 to 12,265,40.711442,-74.000851,Chinatown
Digital Arts and Cinema Technology High School,9 to 12,246,40.685419,-73.993351,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Midwood High School,9 to 12,4156,40.633237,-73.952929,Flatbush
Manhattan Academy for Arts & Language,9 to 12,233,40.746176,-73.981241,Murray Hill-Kips Bay
Community Health Academy of the Heights,6 to 12,713,40.833687,-73.942072,Washington Heights South
Fort Hamilton High School,9 to 12,4559,40.627898,-74.039985,Bay Ridge
Brooklyn School for Music & Theatre,9 to 12,296,40.670349,-73.961695,Crown Heights South
East Bronx Academy for the Future,6 to 12,668,40.836356,-73.888361,Crotona Park East
"Young Women's Leadership School, Queens (TYWLS)",6 to 12,547,40.707527,-73.806412,Briarwood-Jamaica Hills
Queens High School for Language Studies,9 to 12,424,40.765166,-73.82789,Flushing
Rockaway Park High School for Environmental Sustainability,9 to 12,304,40.586066,-73.822624,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
High School for Law and Public Service,9 to 12,481,40.855855,-73.92712,Washington Heights North
Professional Pathways High School,"School is structured on credit needs, not grade level",210,40.594124,-73.937696,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Eximius College Preparatory Academy: A College Board School,9 to 12,430,40.833665,-73.902499,Claremont-Bathgate
The Metropolitan Soundview High School,9 to 12,423,40.831601,-73.878912,West Farms-Bronx River
Columbia Secondary School,6 to 12,718,40.810431,-73.955809,Morningside Heights
Art and Design High School,9 to 12,1478,40.75924,-73.967203,Turtle Bay-East Midtown
Lyons Community School,6 to 12,471,40.709941,-73.943641,East Williamsburg
Cobble Hill School of American Studies,9 to 12,582,40.684524,-73.990993,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Frederick Douglass Academy III Secondary School,9 to 12,408,40.833511,-73.90449,Claremont-Bathgate
High School of Language and Innovation,9 to 12,379,40.859665,-73.861006,Bronxdale
The Laboratory School of Finance and Technology,6 to 12,662,40.813983,-73.920782,Mott Haven-Port Morris
Academy of Finance and Enterprise,9 to 12,649,40.745095,-73.936635,Hunters Point-Sunnyside-West Maspeth
Herbert H. Lehman High School,9 to 12,794,40.840702,-73.838545,Schuylerville-Throgs Neck-Edgewater Park
Energy Tech High School,9 to 14,533,40.757065,-73.932664,Queensbridge-Ravenswood-Long Island City
Brooklyn Theatre Arts High School,9 to 12,350,40.633285,-73.916735,Canarsie
The Urban Assembly School for Law and Justice,9 to 12,435,40.694682,-73.988853,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Benjamin Franklin High School for Finance & Information Technology,9 to 12,389,40.697819,-73.745728,Cambria Heights
International High School at Lafayette,9 to 12,347,40.594291,-73.98577,Gravesend
School for Tourism and Hospitality,9 to 12,299,40.821675,-73.903546,Morrisania-Melrose
School for Classics High School,9 to 12,270,40.670724,-73.874208,East New York
Gotham Professional Arts Academy,9 to 12,178,40.678488,-73.962105,Crown Heights North
Marta Valle High School,9 to 12,127,40.720581,-73.985645,Chinatown
High School for Service & Learning at Erasmus,9 to 12,297,40.649787,-73.95855,Erasmus
A-TECH High School,9 to 12,329,40.721981,-73.953281,North Side-South Side
Special Music School,K to 12,314,40.774351,-73.984753,Lincoln Square
Bronx School of Law and Finance,9 to 12,369,40.877105,-73.912256,Marble Hill-Inwood
Landmark High School,9 to 12,330,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square
Bushwick Leaders High School for Academic Excellence,9 to 12,302,40.695056,-73.92814,Bushwick South
Theatre Arts Production Company School,6 to 12,540,40.854515,-73.896703,Mount Hope
Metropolitan Expeditionary Learning School,6 to 12,832,40.711367,-73.856698,Forest Hills
Millennium Brooklyn High School,9 to 12,675,40.669629,-73.979287,Park Slope-Gowanus
Pan American International High School at Monroe,9 to 12,444,40.831601,-73.878912,West Farms-Bronx River
Mott Haven Village Preparatory High School,9 to 12,315,40.81825,-73.91103,Melrose South-Mott Haven North
Queens Technical High School,9 to 12,1522,40.742205,-73.928219,Hunters Point-Sunnyside-West Maspeth
Renaissance High School for Musical Theater and the Arts,9 to 12,460,40.840702,-73.838545,Schuylerville-Throgs Neck-Edgewater Park
Benjamin N. Cardozo High School,9 to 12,3609,40.752333,-73.75599,Oakland Gardens
Astor Collegiate Academy,9 to 12,500,40.859665,-73.861006,Bronxdale
Bronx Early College Academy for Teaching & Learning,6 to 12,510,40.828696,-73.917668,East Concourse-Concourse Village
Unity Center for Urban Technologies,9 to 12,278,40.746176,-73.981241,Murray Hill-Kips Bay
The High School of Fashion Industries,9 to 12,1577,40.745156,-73.996074,Hudson Yards-Chelsea-Flatiron-Union Square
Academy of Innovative Technology,9 to 12,422,40.691146,-73.868328,park-cemetery-etc-Brooklyn
The Urban Assembly Academy of Government and Law,9 to 12,324,40.717349,-73.989596,Chinatown
Cultural Academy for the Arts and Sciences,9 to 12,282,40.648657,-73.922171,Rugby-Remsen Village
Bronx International High School,9 to 12,418,40.827642,-73.904473,Morrisania-Melrose
Port Richmond High School,9 to 12,1564,40.634573,-74.141818,Port Richmond
"High School for Math, Science and Engineering at City College (HSMSE)",9 to 12,491,40.82074,-73.949097,Manhattanville
Metropolitan Diploma Plus High School,"School is structured on credit needs, not grade level",227,40.656068,-73.907245,Brownsville
The Eagle Academy for Young Men of Staten Island,6 to 12,270,40.624263,-74.082667,Stapleton-Rosebank
International High School at Prospect Heights,9 to 12,368,40.670349,-73.961695,Crown Heights South
Talent Unlimited High School,9 to 12,518,40.765359,-73.960059,Lenox Hill-Roosevelt Island
Life Sciences Secondary School,9 to 12,425,40.783625,-73.945637,Yorkville
New World High School,9 to 12,381,40.887831,-73.852694,Williamsbridge-Olinville
Bronx High School for Law and Community Service,9 to 12,402,40.860043,-73.888267,Belmont
Crotona International High School,9 to 12,333,40.855698,-73.882715,Belmont
